experiment,model_file,record_count,disease_count,symptom_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,smallest_class_size,largest_class_size,training_duration_seconds,excluded_singleton_records,minimum_class_recall,median_class_recall,limitation
original_clean,models\experiments\original_clean.pkl,96088,100,229,0.8692371734831928,0.8628843556462684,0.9003109039903149,0.8628843556462684,0.874723979693045,0.8749098054036277,803,1219,8.663221700000577,0,0.32098765432098764,0.9037890978577894,"The standalone Kaggle CSV was unavailable. Its 100,000 rows were recovered from the validated first segment of raw/merged_dataset.csv. Kaggle feature availability is inferred from columns containing at least one nonzero value."
kaggle_100k,models\experiments\kaggle_100k.pkl,99999,45,174,0.39755,0.09733574958369154,0.2652075854089498,0.09733574958369154,0.10574471335908917,0.341207100369034,2,21295,12.677829800057225,1,0.0,0.0,"The standalone Kaggle CSV was unavailable. Its 100,000 rows were recovered from the validated first segment of raw/merged_dataset.csv. Kaggle feature availability is inferred from columns containing at least one nonzero value."
merged_union,models\experiments\merged_union.pkl,196087,137,374,0.572007751542659,0.5792366574530252,0.7127548675017126,0.5792366574530252,0.6136400410192923,0.5514319156301337,2,22109,29.66441379999742,1,0.0,0.7283950617283951,"The standalone Kaggle CSV was unavailable. Its 100,000 rows were recovered from the validated first segment of raw/merged_dataset.csv. Kaggle feature availability is inferred from columns containing at least one nonzero value. For union features, a source without a symptom column is encoded as 0 only to satisfy the model schema. That value means unavailable/not recorded and must not be interpreted as clinically confirmed absence."
merged_common_features,models\experiments\merged_common_features.pkl,196087,137,29,0.30628792901218826,0.25922050659056356,0.2646907244101321,0.25922050659056356,0.23781493447722213,0.27225144957237724,2,22109,13.33722859993577,1,0.0,0.12459016393442623,"The standalone Kaggle CSV was unavailable. Its 100,000 rows were recovered from the validated first segment of raw/merged_dataset.csv. Kaggle feature availability is inferred from columns containing at least one nonzero value. Restricting to common features avoids structural zero filling but discards source-specific symptoms."
